Tue Mar 10 11:00:00 CET 2015,0xc35c9_10-03-15 12:xx - 10-03-15 13:26,0.07,null,null,null,null,null,null,null,null
Tue Mar 10 13:00:00 CET 2015,0xc35c9_10-03-15 12:xx - 10-03-15 13:26,0.06,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,0.00,null,null,null,null,null,null
Thu Mar 12 07:00:00 CET 2015,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.00,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,0.00,null,null,null,null,null,null
Sat Mar 14 13:00:00 CET 2015,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,0.05,null,null,null,null,null,null,null,null
Sat Mar 14 15:00:00 CET 2015,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,0.10,null,null,null,null,null,null,null,null
Sun Mar 15 19:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.02,null,null,null,null,null,null,null,null
Sun Mar 15 21:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.04,null,null,null,null,null,null,null,null
Sun Mar 15 23:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,null,null,null,null,null,null,null,null
Mon Mar 16 01:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,null,null,null,null,null,null,null,null
Mon Mar 16 03:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,null,null,null,null,null,null,null,null
Mon Mar 16 05:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,null,null,null,null,null,null,null,null
Mon Mar 16 07:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,null,null,null,null,null,null,null,null
Mon Mar 16 09:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.00,null,null,null,null,null,null
Mon Mar 16 11:00:00 CET 2015,0x6d679_15-03-15 20:xx - 16-03-15 12:24,0.00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.00,null,null,null,null,null,null
Mon Mar 16 13:00:00 CET 2015,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.00,null,null,null,null,null,null,null,null
