2015-03-05,Orientale,00:00-11:59,null,null,C20,12:00-23:59,null,D20,C20
2015-03-12,Orientale,00:00-11:59,C19,D20,C20,12:00-23:59,null,null,null
2015-03-12,Occidentale,00:00-11:59,null,null,D1,12:00-23:59,null,C1,D1
2015-03-19,Orientale,00:00-11:59,B18,C20,G33,12:00-23:59,G33,B18,C20
2015-03-19,Occidentale,00:00-11:59,null,null,D1,12:00-23:59,null,null,D1
2015-03-26,Occidentale,00:00-11:59,null,D1,D1,12:00-23:59,null,D1,D1
2015-03-26,Orientale,00:00-11:59,D20,C20,C20,12:00-23:59,C31,C20,C20
2015-04-02,Occidentale,00:00-11:59,null,D2,D1,12:00-23:59,null,D2,D1
2015-04-02,Orientale,00:00-11:59,A29,D20,C20,12:00-23:59,B30,A28,C20
2015-04-09,Orientale,00:00-11:59,D19,D20,C20,12:00-23:59,A28,D20,C20
2015-04-09,Occidentale,00:00-11:59,F8,F9,D1,12:00-23:59,F8,F9,D1
2015-04-16,Occidentale,00:00-11:59,C1,D1,F9,12:00-23:59,I16,D1,F9
2015-04-16,Orientale,00:00-11:59,D20,G33,C20,12:00-23:59,D20,G33,C20
2015-04-23,Orientale,00:00-11:59,D20,G33,C20,12:00-23:59,D20,G33,C20
2015-04-23,Occidentale,00:00-11:59,D2,D1,F9,12:00-23:59,D1,H8,F9
2015-04-30,Orientale,00:00-11:59,D20,G33,C20,12:00-23:59,D20,G33,C20
2015-04-30,Occidentale,00:00-11:59,H8,J14,F9,12:00-23:59,G8,J14,H8
2015-05-07,Orientale,00:00-11:59,D20,G33,C20,12:00-23:59,D20,G33,C20
2015-05-07,Occidentale,00:00-11:59,H8,F8,F9,12:00-23:59,G8,I11,H8
